VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-03-01 09:34:10,2016-03-01 09:39:38,2,.72,-73.984130859375,40.743091583251953,1,N,-73.979911804199219,40.7518310546875,2,5.5,0,0.5,0,0,0.3,6.3
1,2016-03-01 09:34:11,2016-03-01 09:46:15,1,1.40,-73.978645324707031,40.744949340820313,1,N,-73.994575500488281,40.736423492431641,1,9,0,0.5,1,0,0.3,10.8
1,2016-03-01 09:34:11,2016-03-01 10:03:24,1,5.40,-73.985359191894531,40.738567352294922,1,N,-73.9571533203125,40.688632965087891,1,23,0,0.5,4.75,0,0.3,28.55
1,2016-03-01 09:34:11,2016-03-01 10:03:18,1,15.60,-73.978935241699219,40.749313354492187,2,N,-73.789726257324219,40.644573211669922,1,52,0,0.5,14.55,5.54,0.3,72.89
2,2016-03-01 09:34:11,2016-03-01 09:50:09,1,2.00,-73.978233337402344,40.762958526611328,1,N,-73.989532470703125,40.739921569824219,2,11.5,0,0.5,0,0,0.3,12.3
2,2016-03-01 09:34:11,2016-03-01 10:18:25,6,11.37,-73.874557495117188,40.774124145507812,1,N,-73.976699829101563,40.751243591308594,1,39,0,0.5,9.07,5.54,0.3,54.41
2,2016-03-01 09:34:11,2016-03-01 09:48:58,6,2.09,-73.967529296875,40.792991638183594,1,N,-73.989631652832031,40.772918701171875,1,11.5,0,0.5,3.08,0,0.3,15.38
1,2016-03-01 09:34:12,2016-03-01 09:46:52,1,1.30,-73.970924377441406,40.765041351318359,1,N,-73.98553466796875,40.776107788085938,1,9.5,0,0.5,2.57,0,0.3,12.87
1,2016-03-01 09:34:12,2016-03-01 10:13:01,1,11.90,-73.875297546386719,40.773841857910156,1,N,-73.976249694824219,40.754024505615234,1,37,0,0.5,0,5.54,0.3,43.34
2,2016-03-01 09:34:12,2016-03-01 09:38:43,1,.53,-73.980842590332031,40.750499725341797,1,N,-73.982246398925781,40.745830535888672,2,5,0,0.5,0,0,0.3,5.8
2,2016-03-01 09:34:12,2016-03-01 09:42:45,1,1.43,-73.982048034667969,40.770168304443359,1,N,-73.970878601074219,40.786128997802734,2,8,0,0.5,0,0,0.3,8.8
1,2016-03-01 09:34:13,2016-03-01 09:58:43,1,5.00,-73.966102600097656,40.753913879394531,1,N,-73.966201782226563,40.807098388671875,1,19,0,0.5,3.95,0,0.3,23.75
1,2016-03-01 09:34:13,2016-03-01 09:46:52,1,1.90,-73.995513916015625,40.724941253662109,1,N,-74.013999938964844,40.714290618896484,1,10.5,0,0.5,1.5,0,0.3,12.8
2,2016-03-01 09:34:13,2016-03-01 09:51:03,1,2.62,-73.993583679199219,40.691513061523438,1,N,-73.978271484375,40.666908264160156,2,12.5,0,0.5,0,0,0.3,13.3
2,2016-03-01 09:34:13,2016-03-01 09:42:42,1,.98,-74.009140014648437,40.703853607177734,1,N,-74.016456604003906,40.709617614746094,1,7,0,0.5,1.56,0,0.3,9.36
1,2016-03-01 09:34:14,2016-03-01 09:45:07,1,1.70,-73.961204528808594,40.764152526855469,1,N,-73.972427368164062,40.749134063720703,2,9.5,0,0.5,0,0,0.3,10.3
2,2016-03-01 09:34:14,2016-03-01 09:53:39,2,1.36,-73.98492431640625,40.768833160400391,1,N,-73.979072570800781,40.755653381347656,1,12,0,0.5,1.2,0,0.3,14
2,2016-03-01 09:34:14,2016-03-01 09:47:50,2,1.46,-73.994918823242188,40.750400543212891,1,N,-73.995498657226562,40.740058898925781,1,10,0,0.5,2.16,0,0.3,12.96
2,2016-03-01 09:34:14,2016-03-01 09:48:38,3,1.62,-73.980476379394531,40.770168304443359,1,N,-73.977188110351562,40.755111694335938,1,10.5,0,0.5,1.5,0,0.3,12.8
2,2016-03-01 09:34:14,2016-03-01 09:40:47,1,1.06,-73.990936279296875,40.750530242919922,1,N,-73.978477478027344,40.750991821289063,1,6,0,0.5,2,0,0.3,8.8
