#states step:0
#current participants:
task2	TaskState.picked	2	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	0	0.0357286315578	
task3	TaskState.picked	0	[-73.98974609375, 40.75674819946289]	[-73.98974609375, 40.75674819946289]	[-73.97563171386719, 40.76338577270508]	1.0	1.2	7.5	0	0.0155972144315	
task4	TaskState.picking	3	[-73.97471618652344, 40.756141662597656]	[-73.97471618652344, 40.756141662597656]	[-73.97882080078125, 40.7559928894043]	1.0	0.51	5.5	0	0.00410730954135	
#current pending_schedules: 1
task5	TaskState.pending	-1	[-73.95618438720703, 40.779815673828125]	[-73.95618438720703, 40.779815673828125]	[-73.97400665283203, 40.784698486328125]	1.0	1.26	7.0	0	0.0184790424513	
#current finished_schedules: 1
task1	TaskState.finished	3	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
#total reward:0.00395333832241

#states step:5
#current participants:
0	ParticipantState.available	NULL	[-73.98445670668954, 40.7659527744685]	[-73.98445670668954, 40.7659527744685]	[-73.9973, 40.7418]	0.0273551950749	0.0	
1	ParticipantState.working	task5	[-73.98395737461823, 40.75224697612954]	[-73.98395737461823, 40.75224697612954]	[-73.95618438720703, 40.779815673828125]	0.0391327474443	0.015	
2	ParticipantState.available	NULL	[-73.9616510703873, 40.75933537514131]	[-73.9616510703873, 40.75933537514131]	[-74.034, 40.72]	0.0823507094906	0.0	
3	ParticipantState.working	task4	[-73.97471618652344, 40.756141662597656]	[-73.98385885854329, 40.756701807310165]	[-73.97471618652344, 40.756141662597656]	0.0	0.00915981515979	
4	ParticipantState.available	NULL	[-74.08876095593808, 40.70818938241566]	[-74.1772, 40.6915]	[-73.9965, 40.7256]	0.0938893689151	0.015	
#current running_schedules: 2
task4	TaskState.picked	3	[-73.97471618652344, 40.756141662597656]	[-73.97471618652344, 40.756141662597656]	[-73.97882080078125, 40.7559928894043]	1.0	0.51	5.5	0	0.00410730954135	
task5	TaskState.picking	1	[-73.95618438720703, 40.779815673828125]	[-73.95618438720703, 40.779815673828125]	[-73.97400665283203, 40.784698486328125]	1.0	1.26	7.0	0	0.0184790424513	
#current pending_schedules: 1
task6	TaskState.pending	-1	[-73.99114990234375, 40.7595329284668]	[-73.99114990234375, 40.7595329284668]	[-73.99590301513672, 40.74005889892578]	1.0	1.76	15.0	0	0.0200456954927	
#current finished_schedules: 3
task1	TaskState.finished	3	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task2	TaskState.finished	2	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task3	TaskState.finished	0	[-73.98974609375, 40.75674819946289]	[-73.98974609375, 40.75674819946289]	[-73.97563171386719, 40.76338577270508]	1.0	1.2	7.5	1	0.0155972144315	
#total reward:0.13377106113

#states step:6
#current participants:
0	ParticipantState.working	task6	[-73.99149922271363, 40.75270879591029]	[-73.99149922271363, 40.75270879591029]	[-73.99114990234375, 40.7595329284668]	0.00683306738366	0.015	
1	ParticipantState.working	task5	[-73.97331169195152, 40.762814352367755]	[-73.98395737461823, 40.75224697612954]	[-73.95618438720703, 40.779815673828125]	0.0241327474443	0.015	
2	ParticipantState.available	NULL	[-73.97482926825475, 40.75217052336566]	[-73.9616510703873, 40.75933537514131]	[-74.034, 40.72]	0.0673507094906	0.015	
3	ParticipantState.available	NULL	[-73.98385885854329, 40.756701807310165]	[-73.98385885854329, 40.756701807310165]	[-73.7768, 40.6459]	0.234841247238	0.0	
4	ParticipantState.available	NULL	[-74.07402111526109, 40.710970946151605]	[-74.1772, 40.6915]	[-73.9965, 40.7256]	0.0788893689151	0.015	
#current running_schedules: 2
task5	TaskState.picking	1	[-73.95618438720703, 40.779815673828125]	[-73.95618438720703, 40.779815673828125]	[-73.97400665283203, 40.784698486328125]	1.0	1.26	7.0	0	0.0184790424513	
task6	TaskState.picking	0	[-73.99114990234375, 40.7595329284668]	[-73.99114990234375, 40.7595329284668]	[-73.99590301513672, 40.74005889892578]	1.0	1.76	15.0	0	0.0200456954927	
#current pending_schedules: 1
task7	TaskState.pending	-1	[-73.99822235107422, 40.72013854980469]	[-73.99822235107422, 40.72013854980469]	[-73.97673034667969, 40.739288330078125]	1.0	2.11	9.5	0	0.0287857662294	
#current finished_schedules: 4
task1	TaskState.finished	3	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task2	TaskState.finished	2	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task3	TaskState.finished	0	[-73.98974609375, 40.75674819946289]	[-73.98974609375, 40.75674819946289]	[-73.97563171386719, 40.76338577270508]	1.0	1.2	7.5	1	0.0155972144315	
task4	TaskState.finished	3	[-73.97471618652344, 40.756141662597656]	[-73.97471618652344, 40.756141662597656]	[-73.97882080078125, 40.7559928894043]	1.0	0.51	5.5	1	0.00410730954135	
#total reward:0.116092989755

#states step:7
#current participants:
0	ParticipantState.working	task6	[-73.99114990234375, 40.7595329284668]	[-73.99149922271363, 40.75270879591029]	[-73.99114990234375, 40.7595329284668]	0.0	0.00683306738366	
1	ParticipantState.working	task5	[-73.96266600928483, 40.77338172860597]	[-73.98395737461823, 40.75224697612954]	[-73.95618438720703, 40.779815673828125]	0.00913274744428	0.015	
2	ParticipantState.available	NULL	[-73.98800746612218, 40.745005671590015]	[-73.9616510703873, 40.75933537514131]	[-74.034, 40.72]	0.0523507094906	0.015	
3	ParticipantState.working	task7	[-73.97063340128366, 40.74962457054193]	[-73.97063340128366, 40.74962457054193]	[-73.99822235107422, 40.72013854980469]	0.0403803859499	0.015	
4	ParticipantState.available	NULL	[-74.05928127458411, 40.71375250988755]	[-74.1772, 40.6915]	[-73.9965, 40.7256]	0.0638893689151	0.015	
#current running_schedules: 3
task5	TaskState.picking	1	[-73.95618438720703, 40.779815673828125]	[-73.95618438720703, 40.779815673828125]	[-73.97400665283203, 40.784698486328125]	1.0	1.26	7.0	0	0.0184790424513	
task6	TaskState.picked	0	[-73.99114990234375, 40.7595329284668]	[-73.99114990234375, 40.7595329284668]	[-73.99590301513672, 40.74005889892578]	1.0	1.76	15.0	0	0.0200456954927	
task7	TaskState.picking	3	[-73.99822235107422, 40.72013854980469]	[-73.99822235107422, 40.72013854980469]	[-73.97673034667969, 40.739288330078125]	1.0	2.11	9.5	0	0.0287857662294	
#current pending_schedules: 1
task8	TaskState.pending	-1	[-73.99427795410156, 40.75093078613281]	[-73.99427795410156, 40.75093078613281]	[-73.96942138671875, 40.749176025390625]	1.0	1.7	13.0	0	0.0249184294713	
#current finished_schedules: 4
task1	TaskState.finished	3	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task2	TaskState.finished	2	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task3	TaskState.finished	0	[-73.98974609375, 40.75674819946289]	[-73.98974609375, 40.75674819946289]	[-73.97563171386719, 40.76338577270508]	1.0	1.2	7.5	1	0.0155972144315	
task4	TaskState.finished	3	[-73.97471618652344, 40.756141662597656]	[-73.97471618652344, 40.756141662597656]	[-73.97882080078125, 40.7559928894043]	1.0	0.51	5.5	1	0.00410730954135	
#total reward:0.0792599223709

#states step:8
#current participants:
0	ParticipantState.available	NULL	[-73.99149922271363, 40.75270879591029]	[-73.99149922271363, 40.75270879591029]	[-74.0058, 40.7404]	0.0188684574821	0.0	
1	ParticipantState.working	task5	[-73.95618438720703, 40.779815673828125]	[-73.98395737461823, 40.75224697612954]	[-73.95618438720703, 40.779815673828125]	0.0	0.00913274744429	
2	ParticipantState.working	task8	[-74.0011856639896, 40.737840819814366]	[-74.0011856639896, 40.737840819814366]	[-73.99427795410156, 40.75093078613281]	0.0148007997796	0.015	
3	ParticipantState.working	task7	[-73.98088179879457, 40.73867147287696]	[-73.97063340128366, 40.74962457054193]	[-73.99822235107422, 40.72013854980469]	0.0253803859499	0.015	
4	ParticipantState.available	NULL	[-74.04454143390713, 40.71653407362349]	[-74.1772, 40.6915]	[-73.9965, 40.7256]	0.0488893689151	0.015	
#current running_schedules: 3
task5	TaskState.picked	1	[-73.95618438720703, 40.779815673828125]	[-73.95618438720703, 40.779815673828125]	[-73.97400665283203, 40.784698486328125]	1.0	1.26	7.0	0	0.0184790424513	
task7	TaskState.picking	3	[-73.99822235107422, 40.72013854980469]	[-73.99822235107422, 40.72013854980469]	[-73.97673034667969, 40.739288330078125]	1.0	2.11	9.5	0	0.0287857662294	
task8	TaskState.picking	2	[-73.99427795410156, 40.75093078613281]	[-73.99427795410156, 40.75093078613281]	[-73.96942138671875, 40.749176025390625]	1.0	1.7	13.0	0	0.0249184294713	
#current pending_schedules: 1
task9	TaskState.pending	-1	[-73.97628784179688, 40.75897979736328]	[-73.97628784179688, 40.75897979736328]	[-73.97701263427734, 40.74684143066406]	1.0	1.15	6.5	0	0.0121599864418	
#current finished_schedules: 5
task1	TaskState.finished	3	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task2	TaskState.finished	2	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task3	TaskState.finished	0	[-73.98974609375, 40.75674819946289]	[-73.98974609375, 40.75674819946289]	[-73.97563171386719, 40.76338577270508]	1.0	1.2	7.5	1	0.0155972144315	
task4	TaskState.finished	3	[-73.97471618652344, 40.756141662597656]	[-73.97471618652344, 40.756141662597656]	[-73.97882080078125, 40.7559928894043]	1.0	0.51	5.5	1	0.00410730954135	
task6	TaskState.finished	0	[-73.99114990234375, 40.7595329284668]	[-73.99114990234375, 40.7595329284668]	[-73.99590301513672, 40.74005889892578]	1.0	1.76	15.0	1	0.0200456954927	
#total reward:0.100264261405

#states step:9
#current participants:
0	ParticipantState.working	task9	[-74.00286801952696, 40.74292357956025]	[-74.00286801952696, 40.74292357956025]	[-73.97628784179688, 40.75897979736328]	0.031053308653	0.015	
1	ParticipantState.available	NULL	[-73.98395737461823, 40.75224697612954]	[-73.98395737461823, 40.75224697612954]	[-74.0103, 40.7237]	0.0388440955377	0.0	
2	ParticipantState.working	task8	[-73.99427795410156, 40.75093078613281]	[-74.0011856639896, 40.737840819814366]	[-73.99427795410156, 40.75093078613281]	0.0	0.0148007997796	
3	ParticipantState.working	task7	[-73.99113019630548, 40.727718375211985]	[-73.97063340128366, 40.74962457054193]	[-73.99822235107422, 40.72013854980469]	0.0103803859499	0.015	
4	ParticipantState.available	NULL	[-74.02980159323018, 40.719315637359436]	[-74.1772, 40.6915]	[-73.9965, 40.7256]	0.0338893689151	0.015	
#current running_schedules: 3
task7	TaskState.picking	3	[-73.99822235107422, 40.72013854980469]	[-73.99822235107422, 40.72013854980469]	[-73.97673034667969, 40.739288330078125]	1.0	2.11	9.5	0	0.0287857662294	
task8	TaskState.picked	2	[-73.99427795410156, 40.75093078613281]	[-73.99427795410156, 40.75093078613281]	[-73.96942138671875, 40.749176025390625]	1.0	1.7	13.0	0	0.0249184294713	
task9	TaskState.picking	0	[-73.97628784179688, 40.75897979736328]	[-73.97628784179688, 40.75897979736328]	[-73.97701263427734, 40.74684143066406]	1.0	1.15	6.5	0	0.0121599864418	
#current pending_schedules: 1
task10	TaskState.pending	-1	[-73.96282958984375, 40.77537155151367]	[-73.96282958984375, 40.77537155151367]	[-73.96505737304688, 40.76310348510742]	1.0	1.0	7.5	0	0.0124686996655	
#current finished_schedules: 6
task1	TaskState.finished	3	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task2	TaskState.finished	2	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	1	0.0357286315578	
task3	TaskState.finished	0	[-73.98974609375, 40.75674819946289]	[-73.98974609375, 40.75674819946289]	[-73.97563171386719, 40.76338577270508]	1.0	1.2	7.5	1	0.0155972144315	
task4	TaskState.finished	3	[-73.97471618652344, 40.756141662597656]	[-73.97471618652344, 40.756141662597656]	[-73.97882080078125, 40.7559928894043]	1.0	0.51	5.5	1	0.00410730954135	
task5	TaskState.finished	1	[-73.95618438720703, 40.779815673828125]	[-73.95618438720703, 40.779815673828125]	[-73.97400665283203, 40.784698486328125]	1.0	1.26	7.0	1	0.0184790424513	
task6	TaskState.finished	0	[-73.99114990234375, 40.7595329284668]	[-73.99114990234375, 40.7595329284668]	[-73.99590301513672, 40.74005889892578]	1.0	1.76	15.0	1	0.0200456954927	
#total reward:0.110900588979

#states step:10
#current participants:
0	ParticipantState.working	task9	[-73.99002872209795, 40.75067938006887]	[-74.00286801952696, 40.74292357956025]	[-73.97628784179688, 40.75897979736328]	0.016053308653	0.015	
1	ParticipantState.working	task10	[-73.99412981846733, 40.74122330223483]	[-73.99412981846733, 40.74122330223483]	[-73.96282958984375, 40.77537155151367]	0.0463228587276	0.015	
2	ParticipantState.available	NULL	[-74.0011856639896, 40.737840819814366]	[-74.0011856639896, 40.737840819814366]	[-73.9835, 40.7624]	0.0302644352689	0.0	
